ticker,date,predicted_return,lower_bound_return,bound_width
TCS.NS,2025-08-19,-0.2589,-0.2619,0.0052
TCS.NS,2025-08-20,-0.2598,-0.2629,0.0052
TCS.NS,2025-08-21,-0.2481,-0.2511,0.0053
TCS.NS,2025-08-24,-0.2688,-0.2718,0.0052
TCS.NS,2025-08-25,-0.2726,-0.2756,0.0051
TCS.NS,2025-08-27,-0.2577,-0.2608,0.0052
TCS.NS,2025-08-28,-0.2556,-0.2586,0.0052
TCS.NS,2025-08-31,-0.2622,-0.2652,0.0052
TCS.NS,2025-09-01,-0.262,-0.265,0.0052
TCS.NS,2025-09-02,-0.2586,-0.2617,0.0052
TCS.NS,2025-09-03,-0.2582,-0.2612,0.0052
TCS.NS,2025-09-04,-0.2467,-0.2497,0.0053
TCS.NS,2025-09-07,-0.2394,-0.2425,0.0054
TCS.NS,2025-09-08,-0.2469,-0.25,0.0053
TCS.NS,2025-09-09,-0.2616,-0.2646,0.0052
TCS.NS,2025-09-10,-0.265,-0.268,0.0052
TCS.NS,2025-09-11,-0.2671,-0.2701,0.0052
TCS.NS,2025-09-14,-0.2621,-0.2651,0.0052
TCS.NS,2025-09-15,-0.27,-0.273,0.0051
TCS.NS,2025-09-16,-0.2762,-0.2792,0.0051
TCS.NS,2025-09-17,-0.2771,-0.2801,0.0051
TCS.NS,2025-09-18,-0.2754,-0.2784,0.0051
TCS.NS,2025-09-21,-0.2529,-0.256,0.0053
TCS.NS,2025-09-22,-0.2501,-0.2532,0.0053
TCS.NS,2025-09-23,-0.2435,-0.2466,0.0053
TCS.NS,2025-09-24,-0.2235,-0.2267,0.0055
TCS.NS,2025-09-25,-0.2079,-0.2111,0.0056
TCS.NS,2025-09-28,-0.2071,-0.2103,0.0056
TCS.NS,2025-09-29,-0.205,-0.2082,0.0056
TCS.NS,2025-09-30,-0.212,-0.2152,0.0056
TCS.NS,2025-10-02,-0.2087,-0.2119,0.0056
TCS.NS,2025-10-05,-0.2316,-0.2347,0.0054
TCS.NS,2025-10-06,-0.2278,-0.2309,0.0054
TCS.NS,2025-10-07,-0.2414,-0.2445,0.0053
TCS.NS,2025-10-08,-0.25,-0.253,0.0053
TCS.NS,2025-10-09,-0.2417,-0.2448,0.0053
TCS.NS,2025-10-12,-0.2364,-0.2395,0.0054
TCS.NS,2025-10-13,-0.2243,-0.2274,0.0055
TCS.NS,2025-10-14,-0.2296,-0.2328,0.0054
TCS.NS,2025-10-15,-0.2299,-0.233,0.0054
TCS.NS,2025-10-16,-0.2276,-0.2308,0.0054
TCS.NS,2025-10-19,-0.2412,-0.2443,0.0053
TCS.NS,2025-10-20,-0.2391,-0.2422,0.0054
TCS.NS,2025-10-22,-0.2555,-0.2586,0.0052
TCS.NS,2025-10-23,-0.2531,-0.2562,0.0053
TCS.NS,2025-10-26,-0.2584,-0.2614,0.0052
TCS.NS,2025-10-27,-0.2518,-0.2549,0.0053
TCS.NS,2025-10-28,-0.2517,-0.2548,0.0053
TCS.NS,2025-10-29,-0.2462,-0.2493,0.0053
TCS.NS,2025-10-30,-0.2518,-0.2549,0.0053
TCS.NS,2025-11-02,-0.2416,-0.2447,0.0053
TCS.NS,2025-11-03,-0.2349,-0.238,0.0054
TCS.NS,2025-11-05,-0.2401,-0.2432,0.0054
TCS.NS,2025-11-06,-0.2353,-0.2384,0.0054
TCS.NS,2025-11-09,-0.2437,-0.2468,0.0053
TCS.NS,2025-11-10,-0.2491,-0.2522,0.0053
TCS.NS,2025-11-11,-0.2695,-0.2725,0.0052
TCS.NS,2025-11-12,-0.2633,-0.2663,0.0052
TCS.NS,2025-11-13,-0.2634,-0.2664,0.0052
TCS.NS,2025-11-16,-0.2625,-0.2655,0.0052
TCS.NS,2025-11-17,-0.2589,-0.2619,0.0052
TCS.NS,2025-11-18,-0.2732,-0.2761,0.0051
TCS.NS,2025-11-19,-0.2725,-0.2755,0.0051
TCS.NS,2025-11-20,-0.2738,-0.2768,0.0051
TCS.NS,2025-11-23,-0.2717,-0.2746,0.0051
TCS.NS,2025-11-24,-0.2665,-0.2695,0.0052
TCS.NS,2025-11-25,-0.2767,-0.2796,0.0051
TCS.NS,2025-11-26,-0.2706,-0.2736,0.0051
TCS.NS,2025-11-27,-0.2708,-0.2738,0.0051
TCS.NS,2025-11-30,-0.2698,-0.2728,0.0051
TCS.NS,2025-12-01,-0.2704,-0.2734,0.0051
TCS.NS,2025-12-02,-0.2805,-0.2835,0.0051
TCS.NS,2025-12-03,-0.2915,-0.2944,0.005
TCS.NS,2025-12-04,-0.2935,-0.2964,0.005
TCS.NS,2025-12-07,-0.2931,-0.296,0.005
TCS.NS,2025-12-08,-0.2869,-0.2898,0.005
TCS.NS,2025-12-09,-0.2826,-0.2856,0.0051
